source,cluster,original_prediction,target_prediction,nearest_training_change,copy_feature,copy_crossed_boundary,copy_boundary_progress,copy_target_probability_after,exemplar_feature,exemplar_crossed_boundary,exemplar_boundary_progress,exemplar_target_probability_after,copy_minus_exemplar_target_probability
train:0,1,No Diabetes,Diabetes,180104,bmi,0,0.07643208032023721,0.1387054543851033,age,0,0.08857836024842305,0.14345701038229175,-0.004751555997188461
train:1,1,Diabetes,No Diabetes,180100,bmi,0,0.5829202181878185,0.4595065194958182,blood_pressure,0,0.627386068865144,0.4638236241266895,-0.00431710463087126
train:2,1,No Diabetes,Diabetes,180104,bmi,0,0.09268400024954536,0.16219122829635702,age,0,0.17031180233406792,0.19109334451544546,-0.028902116219088447
train:3,2,Diabetes,No Diabetes,180107,insulin,0,0.020351082828011714,0.20090956927822462,insulin,0,0.12098499389463067,0.23163347381028848,-0.03072390453206386
train:4,2,Diabetes,No Diabetes,180107,insulin,0,0.05377821766335216,0.18519749819215325,insulin,0,0.15484813218744894,0.2188228728597288,-0.033625374667575536
train:5,1,Diabetes,No Diabetes,180100,bmi,0,0.29612434344955046,0.395153202813338,age,1,1.1014795272707467,0.5151160269791085,-0.11996282416577053
train:6,2,No Diabetes,Diabetes,180110,insulin,0,0.4431375322072866,0.49424246665667426,age,1,6.714711561742679,0.5590857604295757,-0.06484329377290143
train:7,2,No Diabetes,Diabetes,180110,blood_pressure,0,-55.88356550224116,0.4548726253246862,blood_pressure,0,-122.89660042731371,0.4017092501302376,0.05316337519444858
train:8,1,No Diabetes,Diabetes,180104,bmi,0,0.4512506162653614,0.3800351828704198,age,0,0.5665632963164391,0.40524425824268273,-0.025209075372262912
train:9,2,No Diabetes,Diabetes,180110,insulin,0,0.6332721326500672,0.4816695039854345,age,1,2.1254720301590697,0.556255502785803,-0.07458599880036854
train:10,1,Diabetes,No Diabetes,180101,bmi,0,0.3913563493385586,0.38657554986074916,blood_pressure,0,0.1588109789287489,0.34323930418974496,0.04333624567100419
train:11,1,No Diabetes,Diabetes,180104,bmi,0,0.8652033170973206,0.48360603889929377,bmi,1,1.0378359125344858,0.5046016004618445,-0.02099556156255078
train:12,1,No Diabetes,Diabetes,180104,bmi,0,0.06389332013573039,0.13533391157194685,age,0,0.06091231842676144,0.13417264410511853,0.0011612674668283196
train:13,1,No Diabetes,Diabetes,180105,bmi,1,2.580080483552415,0.564533618066422,bmi,1,6.448329242221775,0.7225205627672667,-0.15798694470084473
train:15,1,No Diabetes,Diabetes,180104,bmi,0,0.056407071856881694,0.11130964032264767,age,0,0.059728909247952995,0.11267799115680033,-0.001368350834152654
train:16,1,No Diabetes,Diabetes,180104,bmi,0,0.13460112595541898,0.21204063101570159,bmi,0,0.5734558928595632,0.35806848654415546,-0.14602785552845388
train:17,2,Diabetes,No Diabetes,180108,insulin,0,0.06743912923664294,0.3866789402440745,age,1,1.6827723453139047,0.5829677591765955,-0.19628881893252098
train:18,1,Diabetes,No Diabetes,180100,bmi,1,3.6461453968356294,0.5413744854408129,age,0,-6.856285889669094,0.3771610257887999,0.164213459652013
train:19,1,Diabetes,No Diabetes,180102,bmi,0,0.05315572762202522,0.20962473796769443,age,0,0.5941078440423306,0.37552225367846315,-0.16589751571076872
train:20,1,No Diabetes,Diabetes,180104,bmi,0,0.0426553363890132,0.09125451513006766,bmi,0,0.3374889905096344,0.21713595521137652,-0.12588144008130886
train:21,1,No Diabetes,Diabetes,180104,bmi,0,0.07628322636749615,0.139293432270313,age,0,0.155262074195708,0.17013425917370473,-0.030840826903391738
train:22,1,No Diabetes,Diabetes,180104,bmi,0,0.059430489073644316,0.10179414577642187,bmi,0,0.22089235625727927,0.1701517312599975,-0.06835758548357562
train:23,1,Diabetes,No Diabetes,180101,bmi,0,0.0589047949958355,0.21284429577130679,age,0,0.6947502440009191,0.4068593611109038,-0.19401506533959703
train:24,1,Diabetes,No Diabetes,180100,bmi,0,0.4970065280752767,0.45483832773050326,insulin,0,0.10007538893497916,0.41919954707035406,0.035638780660149194
train:25,1,Diabetes,No Diabetes,180100,bmi,0,0.10279454524958054,0.3258629331629077,insulin,0,0.044971277489332676,0.3146401143655049,0.011222818797402834
train:26,2,No Diabetes,Diabetes,180110,insulin,0,0.23101912164146057,0.4206708635594242,age,1,1.6200057991959373,0.5639606601705776,-0.14328979661115337
train:27,2,No Diabetes,Diabetes,180110,insulin,0,0.04267980552194085,0.29172653199878007,age,1,1.0856065147310288,0.5186244537714466,-0.22689792177266654
train:28,1,No Diabetes,Diabetes,180105,bmi,0,0.16963401876480455,0.29768090400973257,age,0,0.800492181580741,0.4513898180106899,-0.15370891400095732
train:29,1,No Diabetes,Diabetes,180104,bmi,0,0.03948027749461891,0.08344084053362888,bmi,0,0.2649827640320333,0.181236985733631,-0.09779614520000213
train:30,2,No Diabetes,Diabetes,180111,insulin,0,0.42841442146169567,0.3878736440383044,age,0,0.5931095769513067,0.42018143542243813,-0.032307791384133755
train:31,1,No Diabetes,Diabetes,180104,bmi,0,0.1433405763246954,0.2261882409669228,age,0,0.30962187487283443,0.27933628742678074,-0.053148046459857934
train:32,1,No Diabetes,Diabetes,180105,bmi,0,0.20795699356987554,0.33475935284046876,age,0,0.9374623648270982,0.4869530325703234,-0.15219367972985465
train:33,1,No Diabetes,Diabetes,180103,bmi,0,0.32488830174875616,0.449324616716809,insulin,1,1.1795193609669177,0.513475121890669,-0.06415050517386
train:34,1,No Diabetes,Diabetes,180104,bmi,0,0.08297381824280185,0.13915694326510575,bmi,0,0.20816115180562147,0.1884172381246686,-0.04926029485956285
train:35,1,No Diabetes,Diabetes,180104,bmi,0,0.18348257139788837,0.2645732040374017,age,0,0.34727458985148085,0.3117994220677909,-0.04722621803038918
train:36,1,No Diabetes,Diabetes,180104,bmi,0,0.2711486229588108,0.29760665477132064,age,0,0.6008567204932644,0.3891626659294235,-0.09155601115810286
train:38,2,No Diabetes,Diabetes,180111,insulin,0,0.41209613638830794,0.39918158270733417,bmi,0,0.6683525574159024,0.44312646619622587,-0.043944883488891695
train:39,2,No Diabetes,Diabetes,180109,insulin,0,0.3262347641541778,0.4133777211871241,insulin,0,0.4333287493662398,0.4271462039652175,-0.013768482778093394
train:40,2,No Diabetes,Diabetes,180111,insulin,0,0.2014668797436239,0.24103018882188187,age,0,0.2643034072169647,0.26140850907193636,-0.020378320250054482
train:41,1,Diabetes,No Diabetes,180101,bmi,1,1.5125786649760635,0.516447766596338,insulin,0,0.2818670310116108,0.4769563497934355,0.03949141680290247
train:42,1,No Diabetes,Diabetes,180104,bmi,0,0.03632744436001369,0.07949949576175253,bmi,0,0.1990239672867416,0.15049245859762383,-0.07099296283587131
train:43,1,No Diabetes,Diabetes,180104,bmi,0,0.09217429959845683,0.16145001750390653,age,0,0.24506818376385522,0.21846781484656852,-0.05701779734266199
train:44,2,Diabetes,No Diabetes,180108,insulin,0,0.1743173209737335,0.47969013046657255,blood_pressure,0,-0.13873150942394752,0.4719898588434994,0.007700271623073129
train:45,1,No Diabetes,Diabetes,180104,bmi,0,0.05533956975408466,0.095294509058377,age,0,0.04694521992307652,0.09169825440355939,0.00359625465481761
train:46,1,No Diabetes,Diabetes,180104,bmi,0,0.08003691673060002,0.269497479504223,age,0,0.7844867597405156,0.44600180595999417,-0.1765043264557712
train:47,1,No Diabetes,Diabetes,180105,bmi,1,1.3263009864166104,0.5138598583358855,bmi,1,2.340324090240326,0.5569311855870012,-0.04307132725111562
train:48,1,No Diabetes,Diabetes,180104,bmi,0,0.09696583953818873,0.16835467094789147,age,0,0.2150081567168835,0.21170650063147867,-0.043351829683587195
train:49,2,No Diabetes,Diabetes,180109,insulin,0,0.10615525486414176,0.18998186699199782,age,0,0.14354017478284836,0.20294832804568952,-0.012966461053691702
train:50,1,No Diabetes,Diabetes,180105,bmi,0,0.9132519783695188,0.49521961430042005,age,1,3.0143895425912097,0.6110060930704015,-0.1157864787699815
train:51,1,Diabetes,No Diabetes,180100,bmi,0,0.248549329491804,0.38506963615300105,insulin,0,0.1543802196674589,0.3706669741020901,0.014402662050910953
train:52,1,No Diabetes,Diabetes,180104,bmi,0,0.08280395327973392,0.13595787177279484,age,0,0.07980310351080483,0.1347668115406041,0.0011910602321907326
train:53,1,Diabetes,No Diabetes,180100,bmi,0,0.8725988718312622,0.4919751205125487,blood_pressure,0,0.4302711559716475,0.4641133059057608,0.027861814606787938
train:54,1,No Diabetes,Diabetes,180104,bmi,0,0.0467779320774099,0.09799024711438653,age,0,0.04123558146171592,0.0956528285039715,0.002337418610415032
train:55,1,Diabetes,No Diabetes,180101,bmi,0,0.27042489447315127,0.4181505690231425,bmi,0,0.6442162105704033,0.46008539697283996,-0.04193482794969744
train:56,1,No Diabetes,Diabetes,180104,bmi,0,0.16095054068172746,0.24176754964462388,age,0,0.3585310599091926,0.30257648177128416,-0.060808932126660276
train:57,1,Diabetes,No Diabetes,180100,bmi,1,37.24832105323249,0.5776598671787491,blood_pressure,1,54.37432778538582,0.6143513157611045,-0.0366914485823554
train:58,2,No Diabetes,Diabetes,180110,insulin,0,0.06275795975067756,0.42508535856702845,age,1,1.7919940381022312,0.5633048314453506,-0.13821947287832215
train:59,1,No Diabetes,Diabetes,180104,bmi,0,0.22280105625844657,0.3010210879780293,age,0,0.8426089939052206,0.4597046658298126,-0.15868357785178333
train:60,2,No Diabetes,Diabetes,180109,insulin,0,0.5748025028540237,0.4433754433043483,blood_pressure,0,0.08226603420836884,0.37778319645269987,0.06559224685164844
train:61,1,Diabetes,No Diabetes,180100,bmi,1,8.893732337275338,0.5457958817334058,age,0,-7.223750139463348,0.4522895035326296,0.09350637820077617
train:62,1,Diabetes,No Diabetes,180100,bmi,1,2.407703844256152,0.530213431988544,blood_pressure,0,-0.3284131966349844,0.4714883766688698,0.0587250553196742
train:63,1,No Diabetes,Diabetes,180104,bmi,0,0.045760708076822566,0.09372021068684144,bmi,0,0.26748235078986987,0.18812108376981274,-0.09440087308297129
train:64,1,No Diabetes,Diabetes,180104,bmi,0,0.3928605991367845,0.4153358912839985,age,1,1.0585839543597948,0.5081693895567954,-0.09283349827279685
train:65,1,No Diabetes,Diabetes,180104,bmi,0,0.10117917567159113,0.16658361225768936,age,0,0.187153181418087,0.1984755551898657,-0.03189194293217634
train:66,1,No Diabetes,Diabetes,180104,bmi,0,0.09040379541541307,0.1588628349715192,age,0,0.16839174260256928,0.1881116236930681,-0.029248788721548902
train:67,1,No Diabetes,Diabetes,180103,bmi,0,0.15458580933432642,0.37464007852404324,age,0,0.5960228567872407,0.44009735877350575,-0.06545728024946251
train:68,1,No Diabetes,Diabetes,180104,bmi,0,0.20204865025783594,0.25182053228861967,age,0,0.6217142755876702,0.38234527110230276,-0.1305247388136831
train:69,1,No Diabetes,Diabetes,180103,bmi,0,0.45329347383076396,0.4256732519772929,blood_pressure,0,0.6320019517698605,0.4499693219407763,-0.024296069963483435
train:70,1,No Diabetes,Diabetes,180104,bmi,0,0.2835215146929873,0.2900351558066371,age,0,0.28705367721928704,0.29107026009756687,-0.0010351042909297892
train:71,2,No Diabetes,Diabetes,180110,insulin,0,0.2838469720993278,0.4012068404787883,age,1,1.3912968839235769,0.5539793228088908,-0.15277248233010254
train:72,1,Diabetes,No Diabetes,180101,bmi,0,0.43896889952913404,0.4355442219120616,age,0,0.9259836134421251,0.49149640049751003,-0.05595217858544843
train:74,1,No Diabetes,Diabetes,180104,bmi,0,0.0657641040978381,0.14418759828627592,age,0,0.16641648923115965,0.18252199225421273,-0.03833439396793681
train:75,1,No Diabetes,Diabetes,180104,bmi,0,0.1161586596743832,0.1958920226509877,age,0,0.2587486567121477,0.244953719146629,-0.049061696495641294
train:76,1,No Diabetes,Diabetes,180104,bmi,0,0.07379937461240758,0.12289665026546215,age,0,0.07089293395497719,0.12171329055086144,0.0011833597146007069
train:77,1,Diabetes,No Diabetes,180100,bmi,0,0.10730086068595798,0.33837243735739214,bmi,0,0.22694254675902029,0.36003415210408735,-0.021661714746695204
train:78,2,No Diabetes,Diabetes,180109,insulin,0,0.38343052178346104,0.42561626564638366,blood_pressure,0,0.19660433339972486,0.4030773141445483,0.02253895150183538
train:79,2,No Diabetes,Diabetes,180110,insulin,0,0.528130444073011,0.4666367850707249,age,1,1.590458838055855,0.5417479891921563,-0.07511120412143135
train:80,1,No Diabetes,Diabetes,180104,bmi,0,0.3115951289003507,0.3084611816527716,bmi,0,0.6985063971513383,0.4161137132329762,-0.1076525315802046
train:81,1,No Diabetes,Diabetes,180104,bmi,0,0.125994107670289,0.1863394391420825,bmi,0,0.35326922145738743,0.26790323669210614,-0.08156379755002363
train:82,2,No Diabetes,Diabetes,180109,insulin,0,0.04358070289487517,0.37416664269614086,age,1,1.3152614706458643,0.5414780519380934,-0.16731140924195254
train:83,2,No Diabetes,Diabetes,180110,insulin,0,0.11929219941553489,0.24365499713779903,age,0,0.6202618214267476,0.3894707365954442,-0.14581573945764514
train:84,1,No Diabetes,Diabetes,180104,bmi,0,0.08112854831193347,0.13355923593652463,age,0,0.037935245757010023,0.11633398994420041,0.017225245992324223
train:85,1,Diabetes,No Diabetes,180101,bmi,0,0.5956639179083904,0.4632891923356273,bmi,0,0.17628710280431883,0.42521279430915937,0.03807639802646795
train:86,1,Diabetes,No Diabetes,180101,bmi,1,1.0452314038941943,0.5048997586265642,blood_pressure,0,-0.12320444256199603,0.37832721996177554,0.12657253866478868
train:87,1,No Diabetes,Diabetes,180104,bmi,0,0.21418923556548758,0.30988915054407984,age,0,0.889996686821016,0.47338694726780484,-0.163497796723725
train:88,2,Diabetes,No Diabetes,180107,insulin,0,0.019197299543096222,0.1926107866788934,insulin,0,0.10038930821345853,0.2180568296613574,-0.025446042982464
train:89,2,No Diabetes,Diabetes,180109,insulin,0,0.344582996727436,0.3399253921060045,blood_pressure,0,-0.02673238446475005,0.24923783936848343,0.09068755273752105
train:90,2,No Diabetes,Diabetes,180109,insulin,0,0.12921762532655767,0.2036483171694411,bmi,0,0.42509658775437736,0.30434423268165745,-0.10069591551221635
train:91,2,No Diabetes,Diabetes,180111,insulin,0,0.24671294451603656,0.3891565071085652,age,0,0.9638338185837271,0.49467827590618896,-0.10552176879762376
train:93,1,Diabetes,No Diabetes,180101,bmi,1,1.521842676561242,0.5189214616527459,bmi,1,2.511746069505281,0.554814308157636,-0.03589284650489011
train:94,1,No Diabetes,Diabetes,180104,bmi,0,0.06719882595168428,0.12843919084721533,age,0,0.09429112481905584,0.13923081157951112,-0.010791620732295781
train:95,1,No Diabetes,Diabetes,180104,bmi,0,0.2770019172024859,0.3060058848594369,age,0,0.627996594730206,0.40018442212826555,-0.09417853726882863
train:96,1,No Diabetes,Diabetes,180103,bmi,0,0.5419910378345598,0.4492188004698925,insulin,0,0.020776236456487802,0.3914297286104982,0.0577890718593943
train:97,1,No Diabetes,Diabetes,180104,bmi,0,0.04469145735108274,0.0921412251197905,bmi,0,0.2837026018861636,0.19418447946198514,-0.10204325434219463
train:98,1,Diabetes,No Diabetes,180102,bmi,1,1.07471648279783,0.506673807501214,age,1,2.300930977969057,0.6162014403545207,-0.10952763285330669
train:99,1,Diabetes,No Diabetes,180101,bmi,0,0.032176502652149934,0.181337833268939,age,0,0.6021346055512049,0.36900023711989605,-0.18766240385095703
train:100,1,No Diabetes,Diabetes,180104,bmi,0,0.12000992099150244,0.19962550272318325,age,0,0.3254466159474863,0.2697489568866006,-0.07012345416341736
train:101,2,No Diabetes,Diabetes,180110,insulin,0,-0.03336412361635079,0.43135537230320875,age,1,2.787007885117307,0.6187079057242847,-0.18735253342107594
train:102,2,No Diabetes,Diabetes,180111,insulin,0,0.45053665664378434,0.39904780685924546,bmi,0,0.5554058068062777,0.4183152808949928,-0.019267474035747356
train:103,1,Diabetes,No Diabetes,180101,bmi,0,0.2981814692317669,0.4244858833244352,bmi,0,0.9205524328213737,0.4914516180543859,-0.06696573472995071
train:104,1,No Diabetes,Diabetes,180104,bmi,0,0.19097781357001056,0.3075272175428485,age,0,0.7978544855201212,0.45190798189989856,-0.14438076435705005
train:105,1,No Diabetes,Diabetes,180104,bmi,0,0.41226083085926174,0.3634848989713533,age,0,0.5266391925708443,0.3900517409046137,-0.02656684193326042
train:106,1,No Diabetes,Diabetes,180103,bmi,1,1.9423520312258902,0.5256419697644021,blood_pressure,1,2.764449187023208,0.5480117315029458,-0.02236976173854366
train:107,1,Diabetes,No Diabetes,180100,bmi,0,0.16782155032423157,0.3293703870677792,age,1,1.3432668269105212,0.5703833244312375,-0.2410129373634583
train:108,1,No Diabetes,Diabetes,180104,bmi,0,0.06971641951975892,0.12207179270007329,bmi,0,0.2703974321803931,0.20359856254246356,-0.08152676984239027
train:109,2,No Diabetes,Diabetes,180109,insulin,0,0.06926819412619291,0.14460164775286666,age,0,0.09003923762498964,0.1525330352775418,-0.007931387524675149
train:110,2,Diabetes,No Diabetes,180107,insulin,0,0.061662625661521225,0.33809306098187114,insulin,0,0.14448450750975725,0.352383696461698,-0.014290635479826841
train:111,2,No Diabetes,Diabetes,180110,insulin,0,0.08500281259280397,0.3642949512964324,age,1,1.6157697601329817,0.5913260351387756,-0.22703108384234316
train:112,1,Diabetes,No Diabetes,180102,bmi,0,0.09844439973290137,0.36027728134933146,age,0,0.7053227103777607,0.4543310340278164,-0.09405375267848493
train:113,1,No Diabetes,Diabetes,180104,bmi,0,0.03779016966920197,0.07545655134778828,age,0,0.02904770547746932,0.07159922648923778,0.0038573248585505038
train:114,1,No Diabetes,Diabetes,180104,bmi,0,0.06419215116849473,0.10849960267863568,age,0,0.05975294124102097,0.10664243461516087,0.0018571680634748011
train:115,1,Diabetes,No Diabetes,180101,bmi,0,0.05223514336863905,0.25361933954225313,age,0,0.5857689237457,0.3923166168954563,-0.1386972773532032
train:116,1,No Diabetes,Diabetes,180104,bmi,0,0.10674894265378668,0.1820172360169946,age,0,0.18526828873457188,0.20996883874678463,-0.027951602729790026
train:117,1,No Diabetes,Diabetes,180104,bmi,0,0.30709368908198154,0.35248415505534414,blood_pressure,0,-0.2625663889986897,0.23120673785593382,0.12127741719941032
train:118,2,No Diabetes,Diabetes,180111,insulin,0,0.24678759730931746,0.47997980079482583,age,1,3.952388123146165,0.5784737454471389,-0.09849394465231309
train:119,2,Diabetes,No Diabetes,180106,insulin,0,-0.06613194794646157,0.3964213143109491,bmi,0,-0.22647557957071615,0.3808433338796905,0.015577980431258631
