participant,domain,xai,phase,original label,target label,case,instance id,response time (seconds),attribute values before and after,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,explanation,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1)
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,No Diabetes,,1,130111,37.156,"""Glucose"" - 146(0.608229892875)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 194(0.325826940526)
""BMI"" - 38.2(0.625175611127)
""Age"" - 29(0.216216216216)",,,,,,,,,,,"""Glucose"" - 146(0.608229892875)
""Blood Pressure"" - 76(0.608695652174) -> 80(0.695652173913)
""Insulin"" - 194(0.325826940526)
""BMI"" - 38.2(0.625175611127)
""Age"" - 29(0.216216216216) -> 30(0.243243243243)",,,,,,,,,No Diabetes,1
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,Diabetes,,2,130106,43.268,"""Glucose"" - 129(0.46369665023)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 115(0.162913470263)
""BMI"" - 26.4(0.210733352065)
""Age"" - 28(0.189189189189)",,,,,,,,,,,"""Glucose"" - 129(0.46369665023)
""Blood Pressure"" - 64(0.347826086957) -> 63(0.326086956522)
""Insulin"" - 115(0.162913470263)
""BMI"" - 26.4(0.210733352065)
""Age"" - 28(0.189189189189) -> 26(0.135135135135)",,,,,,,,,No Diabetes,0
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,Diabetes,,3,130108,33.809,"""Glucose"" - 130(0.472198605679)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 79(0.088674420523)
""BMI"" - 28.4(0.280977802754)
""Age"" - 34(0.351351351351)",,,,,,,,,,,"""Glucose"" - 130(0.472198605679)
""Blood Pressure"" - 78(0.652173913043) -> 75(0.586956521739)
""Insulin"" - 79(0.088674420523)
""BMI"" - 28.4(0.280977802754)
""Age"" - 34(0.351351351351) -> 33(0.324324324324)",,,,,,,,,No Diabetes,0
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,No Diabetes,,4,130109,54.027,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 272(0.486678214963)
""BMI"" - 41.5(0.741078954763)
""Age"" - 27(0.162162162162)",,,,,,,,,,,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 82(0.739130434783) -> 83(0.760869565217)
""Insulin"" - 272(0.486678214963)
""BMI"" - 41.5(0.741078954763)
""Age"" - 27(0.162162162162) -> 34(0.351351351351)",,,,,,,,,Diabetes,0
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,Diabetes,,5,130107,14.45,"""Glucose"" - 109(0.293657541234)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 114(0.160851274437)
""BMI"" - 27.9(0.263416690081)
""Age"" - 31(0.27027027027)",,,,,,,,,,,"""Glucose"" - 109(0.293657541234)
""Blood Pressure"" - 76(0.608695652174) -> 74(0.565217391304)
""Insulin"" - 114(0.160851274437)
""BMI"" - 27.9(0.263416690081)
""Age"" - 31(0.27027027027) -> 30(0.243243243243)",,,,,,,,,No Diabetes,0
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,No Diabetes,,6,130110,12.477,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 62(0.304347826087)
""Insulin"" - 284(0.511424564877)
""BMI"" - 32.8(0.435515594268)
""Age"" - 23(0.0540540540541)",,,,,,,,,,,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 62(0.304347826087) -> 65(0.369565217391)
""Insulin"" - 284(0.511424564877)
""BMI"" - 32.8(0.435515594268)
""Age"" - 23(0.0540540540541) -> 24(0.0810810810811)",,,,,,,,,No Diabetes,1
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,No Diabetes,,7,130104,15.035,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 120(0.173224449394)
""BMI"" - 33.2(0.449564484406)
""Age"" - 24(0.0810810810811)",,,,,,,,,,,"""Glucose"" - 117(0.361673184833) -> 120(0.387179051182)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 120(0.173224449394) -> 143(0.220654953394)
""BMI"" - 33.2(0.449564484406)
""Age"" - 24(0.0810810810811)",,,,,,,,,No Diabetes,1
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,Diabetes,,8,130102,7.451,"""Glucose"" - 197(1)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 543(1)
""BMI"" - 30.5(0.354734475976)
""Age"" - 53(0.864864864865)",,,,,,,,,,,"""Glucose"" - 197(1) -> 180(0.897296378167)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 543(1) -> 542(1)
""BMI"" - 30.5(0.354734475976)
""Age"" - 53(0.864864864865)",,,,,,,,,Diabetes,1
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,Diabetes,,9,130101,23.847,"""Glucose"" - 136(0.523210338378)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 110(0.152602491133)
""BMI"" - 37.1(0.586541163248)
""Age"" - 43(0.594594594595)",,,,,,,,,,,"""Glucose"" - 136(0.523210338378) -> 130(0.472198605679)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 110(0.152602491133) -> 109(0.150540295306)
""BMI"" - 37.1(0.586541163248)
""Age"" - 43(0.594594594595)",,,,,,,,,No Diabetes,0
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,training,No Diabetes,,10,130103,11.25,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 88(0.869565217391)
""Insulin"" - 110(0.152602491133)
""BMI"" - 46.8(0.927226749087)
""Age"" - 31(0.27027027027)",,,,,,,,,,,"""Glucose"" - 100(0.217139942187) -> 101(0.225641897636)
""Blood Pressure"" - 88(0.869565217391)
""Insulin"" - 110(0.152602491133) -> 154(0.243339107482)
""BMI"" - 46.8(0.927226749087)
""Age"" - 31(0.27027027027)",,,,,,,,,Diabetes,0
