participant,domain,xai,phase,original label,target label,case,instance id,response time (seconds),attribute values before and after,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,explanation,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1)
R_5cuMJZcXnXdkcTS,diabetes,none,training,Diabetes,,1,130101,9.057,"""Glucose"" - 136(0.523210338378)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 110(0.152602491133)
""BMI"" - 37.1(0.586541163248)
""Age"" - 43(0.594594594595)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_5cuMJZcXnXdkcTS,diabetes,none,training,No Diabetes,,2,130104,2.859,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 120(0.173224449394)
""BMI"" - 33.2(0.449564484406)
""Age"" - 24(0.0810810810811)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_5cuMJZcXnXdkcTS,diabetes,none,training,Diabetes,,3,130100,2.193,"""Glucose"" - 160(0.727257269172)
""Blood Pressure"" - 54(0.130434782609)
""Insulin"" - 175(0.28664521983)
""BMI"" - 30.5(0.354734475976)
""Age"" - 39(0.486486486486)",,,,,,,,,,,,,,,,,,,,No Diabetes,0
R_5cuMJZcXnXdkcTS,diabetes,none,training,No Diabetes,,4,130103,2.357,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 88(0.869565217391)
""Insulin"" - 110(0.152602491133)
""BMI"" - 46.8(0.927226749087)
""Age"" - 31(0.27027027027)",,,,,,,,,,,,,,,,,,,,Diabetes,0
R_5cuMJZcXnXdkcTS,diabetes,none,training,Diabetes,,5,130102,3.551,"""Glucose"" - 197(1)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 543(1)
""BMI"" - 30.5(0.354734475976)
""Age"" - 53(0.864864864865)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_5cuMJZcXnXdkcTS,diabetes,none,training,No Diabetes,,6,130105,2.079,"""Glucose"" - 83(0.0726066995409)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 71(0.072176853914)
""BMI"" - 29.3(0.312587805563)
""Age"" - 36(0.405405405405)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_5cuMJZcXnXdkcTS,diabetes,none,training,No Diabetes,,7,130111,1.961,"""Glucose"" - 146(0.608229892875)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 194(0.325826940526)
""BMI"" - 38.2(0.625175611127)
""Age"" - 29(0.216216216216)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_5cuMJZcXnXdkcTS,diabetes,none,training,Diabetes,,8,130107,1.982,"""Glucose"" - 109(0.293657541234)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 114(0.160851274437)
""BMI"" - 27.9(0.263416690081)
""Age"" - 31(0.27027027027)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_5cuMJZcXnXdkcTS,diabetes,none,training,Diabetes,,9,130108,4.112,"""Glucose"" - 130(0.472198605679)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 79(0.088674420523)
""BMI"" - 28.4(0.280977802754)
""Age"" - 34(0.351351351351)",,,,,,,,,,,,,,,,,,,,Diabetes,1
R_5cuMJZcXnXdkcTS,diabetes,none,training,No Diabetes,,10,130109,5.14,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 272(0.486678214963)
""BMI"" - 41.5(0.741078954763)
""Age"" - 27(0.162162162162)",,,,,,,,,,,,,,,,,,,,Diabetes,0
R_5cuMJZcXnXdkcTS,diabetes,none,training,No Diabetes,,11,130110,2.037,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 62(0.304347826087)
""Insulin"" - 284(0.511424564877)
""BMI"" - 32.8(0.435515594268)
""Age"" - 23(0.0540540540541)",,,,,,,,,,,,,,,,,,,,No Diabetes,1
R_5cuMJZcXnXdkcTS,diabetes,none,training,Diabetes,,12,130106,1.912,"""Glucose"" - 129(0.46369665023)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 115(0.162913470263)
""BMI"" - 26.4(0.210733352065)
""Age"" - 28(0.189189189189)",,,,,,,,,,,,,,,,,,,,No Diabetes,0
R_5cuMJZcXnXdkcTS,diabetes,none,testing,Diabetes,No Diabetes,1,140206,16.224,"""Glucose"" - 170(0.812276823669) -> 113(0.327665363033)
""Blood Pressure"" - 64(0.347826086957) -> 68(0.434782608696)
""Insulin"" - 225(0.389755011136) -> 206(0.35057329044)
""BMI"" - 34.5(0.495223377353)
""Age"" - 30(0.243243243243)",-0.484611460636,0.0869565217391,-0.0391817206962,0,0,1,1,1,0,0,,3,0.610749703071,No Diabetes,1,0.672362405709,8.15324239452e-05,0.52797185349,0.527890321066,,
